"customerid","recency","frequency","monetary","segment"
"12420","63 days 03:55:00","1","600.39","Regular"
"12421","15 days 03:43:00","5","806.27","Regular"
"12422","95 days 03:02:00","3","803.56","Regular"
"12423","02:40:00","9","1849.11","Regular"
"12424","162 days 00:44:00","2","1760.96","Regular"
"12425","77 days 19:19:00","1","777.20","Regular"
"12426","194 days 00:24:00","1","582.73","Lost"
"12427","11 days 02:02:00","5","708.37","Regular"
"12428","25 days 04:28:00","12","7877.20","Loyal"
"12429","8 days 19:28:00","4","3750.40","Regular"
"12430","42 days 21:41:00","1","256.40","Regular"
"12431","35 days 00:55:00","18","6416.39","Loyal"
"12432","42 days 01:07:00","5","5059.32","Regular"
"12433","02:48:00","7","13375.87","Regular"
"12434","84 days 00:12:00","4","765.19","Regular"
"12435","79 days 03:44:00","2","7829.89","Regular"
"12436","99 days 00:41:00","1","509.01","Regular"
"12437","1 day 01:15:00","19","4896.66","Loyal"
"12438","13 days 23:22:00","2","2906.85","Regular"
"12441","366 days 02:05:00","1","173.55","Lost"
"12442","2 days 22:28:00","1","172.06","New"
"12444","20 days 23:27:00","5","5005.46","Regular"
"12445","21 days 18:07:00","1","133.40","New"
"12446","57 days","1","1002.31","Regular"
"12447","242 days 23:25:00","1","476.49","Lost"
"12448","43 days 23:04:00","1","449.45","Regular"
"12449","21 days 23:04:00","4","4067.29","Regular"
"12450","155 days 22:09:00","2","197.88","New"
"12451","10 days 04:10:00","6","8933.52","Regular"
"12452","16 days 02:22:00","3","428.57","Regular"
"12453","133 days 22:42:00","1","707.09","Regular"
"12454","52 days 21:43:00","2","0.00","Lost"
"12455","72 days 21:19:00","6","2466.86","Regular"
"12456","43 days 22:09:00","4","3153.89","Regular"
"12457","57 days 23:04:00","12","1917.78","Loyal"
"12458","70 days 21:25:00","2","947.40","Regular"
"12461","93 days 19:53:00","2","826.88","Regular"
"12462","1 day 22:48:00","4","1124.01","Regular"
"12463","45 days 23:07:00","7","1303.63","Regular"
"12464","9 days 23:17:00","8","1212.05","Regular"
"12465","7 days 01:16:00","3","733.89","Regular"
"12468","142 days 23:08:00","3","724.04","Regular"
"12471","1 day 21:07:00","49","18740.92","Loyal"
"12472","30 days 01:17:00","13","6229.48","Loyal"
"12473","28 days 23:02:00","9","2848.23","Regular"
"12474","16 days 22:11:00","30","7116.47","Loyal"
"12475","53 days 02:40:00","1","723.38","Regular"
"12476","22:42:00","20","6546.58","Loyal"
"12477","22 days 02:59:00","9","13117.01","Regular"
"12478","3 days 02:54:00","1","680.99","Regular"
"12479","3 days 03:25:00","3","477.30","Regular"
"12480","27 days 21:58:00","4","3281.63","Regular"
"12481","22 days 04:21:00","11","5590.86","Loyal"
"12483","16 days 19:47:00","13","2327.13","Loyal"
"12484","32 days 01:13:00","8","4495.27","Regular"
"12488","9 days 04:00:00","3","1298.66","Regular"
"12489","335 days 23:37:00","1","334.93","Lost"
"12490","4 days 20:43:00","10","5417.93","Loyal"
"12491","38 days 00:32:00","1","460.40","Regular"
"12492","62 days 21:35:00","2","263.21","Regular"
"12493","165 days 02:33:00","3","416.79","Regular"
"12494","9 days 03:29:00","13","1139.35","Loyal"
"12497","81 days 00:21:00","1","1043.10","Regular"
"12498","20 days 23:57:00","3","403.70","Regular"
"12500","22 days 20:30:00","13","4206.27","Loyal"
"12501","314 days 22:56:00","2","2089.68","Lost"
"12502","95 days 00:58:00","5","3723.87","Regular"
"12503","337 days 00:59:00","1","-1126","Lost"
"12504","17 days 20:48:00","4","114.00","Regular"
"12505","300 days 23:11:00","1","-4.5","Lost"
"12506","232 days 03:56:00","1","73.50","Lost"
"12507","133 days 19:41:00","4","1258.06","Regular"
"12508","25 days 21:13:00","2","398.27","Regular"
"12509","283 days 22:05:00","1","176.50","Lost"
"12510","142 days 02:35:00","2","982.57","Regular"
"12512","65 days 21:55:00","2","138.03","New"
"12513","84 days 00:05:00","2","586.79","Regular"
"12514","266 days 20:12:00","1","1017.68","Lost"
"12515","352 days 21:07:00","1","383.70","Lost"
"12516","77 days 03:37:00","2","1312.06","Regular"
"12517","27 days 22:46:00","6","2464.89","Regular"
"12518","02:37:00","5","2056.89","Regular"
"12519","63 days 03:24:00","1","340.84","Regular"
"12520","78 days 21:27:00","6","2582.51","Regular"
"12521","142 days 01:59:00","1","599.68","Regular"
"12522","38 days 21:20:00","2","192.72","New"
"12523","1 day 01:04:00","13","1745.57","Loyal"
"12524","8 days 21:19:00","8","4485.72","Regular"
"12526","00:41:00","3","1316.66","Regular"
"12527","81 days 00:55:00","3","348.71","Regular"
"12528","8 days 22:10:00","8","1922.28","Regular"
"12530","59 days 00:16:00","5","1623.63","Regular"
"12531","14 days 01:38:00","1","125.22","New"
"12532","29 days 23:03:00","1","349.83","Regular"
"12534","130 days 02:24:00","1","1089.18","Regular"
"12535","91 days 04:02:00","2","716.35","Regular"
"12536","7 days 00:07:00","5","4106.82","Regular"
"12538","28 days 19:34:00","1","363.95","Regular"
"12539","21 days 23:20:00","5","3852.50","Regular"
"12540","19 days 01:19:00","19","13309.04","Loyal"
"12541","29 days 02:10:00","3","981.18","Regular"
"12544","29 days 01:38:00","2","355.70","Regular"
"12545","74 days 23:11:00","2","1000.39","Regular"
"12546","46 days 00:41:00","3","1141.50","Regular"
"12547","197 days 00:12:00","2","207.80","Lost"
"12548","165 days 21:15:00","1","95.20","New"
"12550","78 days 22:15:00","1","964.83","Regular"
"12551","357 days 01:27:00","1","168.00","Lost"
"12552","38 days 02:48:00","2","437.82","Regular"
"12553","7 days 20:12:00","14","3652.25","Loyal"
"12556","49 days 23:44:00","2","603.71","Regular"
"12557","15 days 19:51:00","5","11990.96","Regular"
"12558","1 day 02:36:00","2","0.00","Lost"
"12559","310 days 03:01:00","3","536.21","Lost"
"12560","4 days 22:56:00","4","2101.39","Regular"
"12561","302 days 01:11:00","1","238.85","Lost"
"12562","7 days 19:30:00","7","3781.74","Regular"
"12564","260 days 21:55:00","1","456.90","Lost"
"12565","281 days 01:07:00","2","131.17","Lost"
"12566","72 days 02:53:00","2","346.70","Regular"
"12567","22 days 01:48:00","11","9114.94","Loyal"
"12569","1 day 20:26:00","35","4064.99","Loyal"
"12571","39 days 02:31:00","2","519.61","Regular"
"12572","8 days 03:30:00","3","1004.72","Regular"
"12573","226 days 20:58:00","1","160.54","Lost"
"12574","315 days 03:30:00","1","218.45","Lost"
"12576","35 days 02:39:00","6","1306.98","Regular"
"12577","34 days 23:22:00","4","595.40","Regular"
"12578","20 days 23:20:00","4","2753.36","Regular"
"12579","72 days 22:53:00","3","410.72","Regular"
"12580","246 days 02:26:00","1","415.70","Lost"
"12581","39 days 03:54:00","1","197.71","New"
"12582","238 days 04:05:00","2","511.36","Lost"
"12583","2 days 04:43:00","18","7187.34","Loyal"
"12584","3 days 03:15:00","18","1893.95","Loyal"
"12585","233 days 23:11:00","4","1982.81","Lost"
"12586","16 days 20:26:00","2","179.94","New"
"12587","7 days 00:03:00","1","144.00","New"
"12588","38 days 21:49:00","1","214.90","Regular"
"12589","28 days 02:31:00","2","646.68","Regular"
"12590","189 days 22:25:00","3","9861.38","Lost"
"12591","316 days 22:15:00","1","452.85","Lost"
"12592","91 days 21:46:00","2","437.60","Regular"
"12593","108 days 00:07:00","3","418.10","Regular"
"12594","37 days 00:30:00","11","3320.22","Loyal"
"12596","50 days 23:48:00","2","618.27","Regular"
"12597","18 days 23:17:00","5","3683.13","Regular"
"12598","9 days 00:32:00","9","3002.68","Regular"
"12599","28 days 23:16:00","7","1032.58","Regular"
"12600","28 days 02:21:00","11","2581.04","Loyal"
"12601","189 days 02:33:00","6","569.56","Lost"
"12602","58 days 01:28:00","1","153.12","New"
"12603","21 days 02:08:00","1","739.20","Regular"
"12604","78 days 22:42:00","2","254.18","Regular"
"12605","364 days 21:09:00","1","-7.50","Lost"
"12607","57 days 20:33:00","2","0.00","Lost"
"12609","77 days 20:16:00","3","1126.85","Regular"
"12610","22 days 03:16:00","7","2057.99","Regular"
"12611","51 days 23:38:00","1","1193.32","Regular"
"12612","57 days 00:38:00","2","643.59","Regular"
"12613","30 days 23:20:00","6","3218.98","Regular"
"12614","277 days 02:28:00","1","315.60","Lost"
"12615","1 day 21:48:00","4","2291.19","Regular"
"12616","84 days 19:48:00","5","657.25","Regular"
"12617","28 days 22:11:00","1","355.53","Regular"
"12618","21 days 01:40:00","1","177.31","New"
"12619","15 days 21:58:00","13","3214.81","Loyal"
"12620","14 days 02:30:00","3","1339.41","Regular"
"12621","1 day 01:25:00","23","13612.07","Loyal"
"12622","231 days 20:11:00","1","180.10","Lost"
"12623","275 days 23:00:00","1","305.10","Lost"
"12624","105 days 21:46:00","2","641.13","Regular"
"12625","211 days 02:56:00","3","2614.32","Lost"
"12626","22 days 20:44:00","13","6388.35","Loyal"
"12627","10 days 00:43:00","7","4478.53","Regular"
"12628","3 days 23:35:00","4","769.61","Regular"
"12630","9 days 02:02:00","2","1270.88","Regular"
"12631","56 days 22:57:00","1","640.50","Regular"
"12633","58 days 01:10:00","5","2140.63","Regular"
"12635","89 days 01:46:00","2","1689.18","Regular"
"12637","66 days 23:04:00","10","5953.25","Loyal"
"12638","32 days 23:39:00","1","671.69","Regular"
"12639","238 days 00:02:00","1","486.10","Lost"
"12640","23 days 00:58:00","3","1174.58","Regular"
"12641","114 days 23:24:00","1","185.90","New"
"12642","24 days 21:47:00","3","1013.26","Regular"
"12643","127 days 23:54:00","6","3344.64","Regular"
"12644","129 days 02:17:00","1","477.91","Regular"
"12645","33 days 00:12:00","5","1755.38","Regular"
"12646","4 days 02:36:00","2","1346.97","Regular"
"12647","21 days 23:54:00","13","3669.92","Loyal"
"12648","154 days 00:55:00","1","318.05","Regular"
"12649","106 days 22:09:00","4","603.71","Regular"
"12650","2 days 20:16:00","1","314.44","Regular"
"12651","334 days 00:04:00","1","114.00","Lost"
"12652","321 days 19:49:00","2","914.53","Lost"
"12653","148 days 02:09:00","2","2209.85","Regular"
"12654","10 days 02:40:00","5","601.98","Regular"
"12656","16 days 23:08:00","8","3982.72","Regular"
"12657","10 days 21:03:00","5","1152.06","Regular"
"12658","18 days 02:28:00","1","686.05","Regular"
"12659","29 days 00:57:00","1","91.68","New"
"12660","10 days 23:24:00","1","245.10","Regular"
"12662","00:51:00","12","3817.08","Loyal"
"12664","7 days 19:43:00","10","4863.88","Loyal"
"12665","324 days 04:16:00","2","61.75","Lost"
"12666","358 days 22:08:00","1","-227.44","Lost"
"12667","57 days 19:50:00","1","620.13","Regular"
"12668","6 days 21:40:00","6","3743.18","Regular"
"12669","150 days 02:56:00","4","1607.73","Regular"
"12670","9 days 21:27:00","6","2986.15","Regular"
"12672","329 days 03:30:00","1","225.90","Lost"
"12673","4 days 22:55:00","2","610.52","Regular"
"12674","11 days 00:28:00","7","1919.31","Regular"
"12676","24 days 00:25:00","6","1331.39","Regular"
"12678","41 days 23:46:00","13","17588.26","Loyal"
"12679","51 days 23:07:00","9","1058.67","Regular"
"12680","00:00:00","4","862.81","Regular"
"12681","14 days 01:15:00","27","13677.59","Loyal"
"12682","3 days 02:50:00","31","12288.22","Loyal"
"12683","3 days 20:19:00","20","8221.09","Loyal"
"12684","7 days 02:57:00","7","2283.63","Regular"
"12685","27 days 23:04:00","6","2863.08","Regular"
"12686","371 days 02:59:00","1","89.14","Lost"
"12688","113 days 04:01:00","1","4873.81","Regular"
"12689","25 days 04:19:00","2","1247.61","Regular"
"12690","205 days 03:41:00","1","389.01","Lost"
"12691","27 days 20:01:00","6","1035.80","Regular"
"12693","120 days 03:34:00","6","830.96","Regular"
"12694","69 days 23:44:00","2","869.67","Regular"
"12695","6 days 23:28:00","4","582.10","Regular"
"12697","20 days 20:33:00","5","939.02","Regular"
"12700","7 days 02:01:00","6","4867.99","Regular"
"12701","79 days 02:03:00","2","797.71","Regular"
"12702","19 days 02:14:00","1","219.00","Regular"
"12703","63 days 17:27:00","2","274.70","Regular"
"12704","6 days 23:35:00","10","2220.84","Loyal"
"12705","14 days 23:33:00","14","6814.24","Loyal"
"12707","291 days 04:12:00","1","603.42","Lost"
"12708","29 days 02:58:00","16","2616.32","Loyal"
"12709","2 days 20:08:00","26","9294.10","Loyal"
"12710","96 days 00:50:00","4","1130.57","Regular"
"12712","22 days 03:35:00","17","4241.63","Loyal"
"12713","00:34:00","1","848.55","Regular"
"12714","8 days 21:07:00","5","4708.86","Regular"
"12715","105 days 21:28:00","1","353.86","Regular"
"12716","3 days 03:55:00","2","1053.49","Regular"
"12717","150 days 21:59:00","3","980.98","Regular"
"12718","70 days 20:12:00","1","238.25","Regular"
"12719","4 days 23:05:00","3","608.10","Regular"
"12720","2 days 04:47:00","29","5713.28","Loyal"
"12721","31 days 00:37:00","7","2628.98","Regular"
"12722","84 days 22:00:00","6","904.33","Regular"
"12723","3 days 02:31:00","5","725.07","Regular"
"12724","4 days 20:48:00","4","1031.41","Regular"
"12725","370 days 21:05:00","1","427.80","Lost"
"12726","27 days 23:15:00","7","2609.10","Regular"
"12727","10 days 01:04:00","9","3947.70","Regular"
"12728","70 days 21:19:00","4","836.33","Regular"
"12729","113 days 01:10:00","1","453.01","Regular"
"12731","23 days 00:51:00","14","18793.41","Loyal"
"12732","179 days 01:17:00","1","236.26","Regular"
"12733","233 days 20:31:00","1","383.95","Lost"
"12734","352 days 00:03:00","1","110.40","Lost"
"12735","314 days 23:13:00","2","779.57","Lost"
"12736","332 days 04:53:00","1","234.00","Lost"
"12738","371 days 18:23:00","1","155.35","Lost"
"12739","77 days 23:50:00","2","1013.04","Regular"
"12740","63 days 02:06:00","1","427.60","Regular"
"12743","133 days 20:29:00","2","546.43","Regular"
"12744","51 days 01:32:00","10","9120.39","Loyal"
"12747","1 day 22:16:00","11","4196.01","Loyal"
"12748","00:30:00","224","29072.10","Loyal"
"12749","3 days 02:54:00","8","3868.20","Regular"
"12750","128 days 03:37:00","1","275.88","Regular"
"12752","80 days 23:18:00","1","4366.78","Regular"
"12753","3 days 01:10:00","11","21024.01","Loyal"
"12754","235 days 03:50:00","5","2949.12","Lost"
"12755","249 days 02:38:00","4","2203.20","Lost"
"12756","86 days 03:19:00","1","112.08","New"
"12757","15 days 00:20:00","19","4227.70","Loyal"
"12758","116 days 02:28:00","2","2791.59","Regular"
"12759","51 days 22:01:00","3","1531.44","Regular"
"12762","7 days 02:27:00","2","1898.52","Regular"
"12763","137 days 22:38:00","2","494.08","Regular"
"12764","316 days 02:31:00","1","1693.88","Lost"
"12766","3 days 04:04:00","7","6989.63","Regular"
"12769","238 days 02:25:00","1","1143.60","Lost"
"12770","210 days 03:17:00","1","1351.45","Lost"
"12772","59 days 03:31:00","1","892.47","Regular"
"12775","16 days 20:17:00","6","1351.24","Regular"
"12778","19 days 01:11:00","7","804.23","Regular"
"12779","20 days 19:40:00","12","3868.70","Loyal"
"12781","20 days 21:05:00","5","707.72","Regular"
"12782","4 days 03:34:00","6","2273.32","Regular"
"12783","1 day 20:54:00","8","1603.87","Regular"
"12784","8 days 21:12:00","2","574.42","Regular"
"12785","2 days 00:04:00","2","305.71","Regular"
"12787","9 days 04:06:00","3","463.66","Regular"
"12789","64 days 23:16:00","1","91.85","New"
"12790","191 days 22:36:00","1","324.92","Lost"
"12791","373 days 01:23:00","1","192.60","Lost"
"12792","256 days 01:14:00","1","400.54","Lost"
"12793","334 days 00:38:00","2","545.48","Lost"
"12794","52 days 21:56:00","2","860.41","Regular"
"12795","18 days 02:23:00","1","430.48","Regular"
"12797","359 days 20:26:00","3","194.18","Lost"
"12798","9 days 20:58:00","3","6977.04","Regular"
"12802","183 days 03:06:00","2","412.58","Lost"
"12808","36 days 02:45:00","3","483.65","Regular"
"12809","167 days 21:35:00","2","484.36","Regular"
"12811","260 days 03:08:00","3","514.85","Lost"
"12812","44 days 02:56:00","1","229.64","Regular"
"12814","101 days 00:39:00","1","125.92","New"
"12815","147 days 02:29:00","2","1063.46","Regular"
"12816","95 days 00:09:00","2","572.20","Regular"
"12817","280 days 20:22:00","1","166.04","Lost"
"12818","177 days 22:56:00","2","1517.88","Regular"
"12820","2 days 21:38:00","4","942.34","Regular"
"12821","213 days 20:59:00","1","92.72","Lost"
"12822","70 days 02:46:00","3","918.98","Regular"
"12823","74 days 05:15:00","5","1759.50","Regular"
"12824","59 days 00:01:00","1","397.12","Regular"
"12826","2 days 02:25:00","8","1468.12","Regular"
"12827","5 days 00:33:00","3","430.15","Regular"
"12828","2 days 04:05:00","6","1018.71","Regular"
"12829","321 days 23:54:00","3","253.05","Lost"
"12830","37 days 00:56:00","7","6748.40","Regular"
"12831","261 days 23:48:00","1","215.05","Lost"
"12832","31 days 23:20:00","2","383.03","Regular"
"12833","144 days 23:04:00","1","417.38","Regular"
"12834","282 days 03:01:00","1","312.38","Lost"
"12836","58 days 21:40:00","4","2612.86","Regular"
"12837","172 days 20:43:00","1","134.10","New"
"12838","33 days 00:30:00","2","683.13","Regular"
"12839","2 days 00:17:00","16","5583.62","Loyal"
"12840","143 days 03:21:00","6","2714.27","Regular"
"12841","4 days 01:37:00","26","3876.40","Loyal"
"12842","69 days 21:17:00","2","1118.99","Regular"
"12843","65 days 00:41:00","9","1680.76","Regular"
"12844","28 days 23:19:00","2","325.96","Regular"
"12845","266 days 23:16:00","4","354.09","Lost"
"12847","21 days 23:34:00","1","871.54","Regular"
"12849","30 days 23:09:00","2","1050.89","Regular"
"12851","96 days 00:09:00","1","135.18","New"
"12852","289 days 21:54:00","2","299.75","Lost"
"12853","107 days 01:50:00","9","1881.70","Regular"
"12854","78 days 00:35:00","5","1289.15","Regular"
"12855","372 days 03:13:00","1","38.10","Lost"
"12856","7 days 01:58:00","8","2162.68","Regular"
"12857","210 days 02:30:00","2","1106.40","Lost"
"12863","51 days 22:35:00","2","504.20","Regular"
"12864","137 days 23:47:00","1","147.12","New"
"12865","25 days 22:19:00","3","1548.07","Regular"
"12866","282 days 22:39:00","1","559.12","Lost"
"12867","25 days 21:20:00","10","3986.22","Loyal"
"12868","185 days 02:08:00","6","1607.06","Lost"
"12870","365 days 22:23:00","1","-14.90","Lost"
"12871","83 days 21:43:00","2","380.64","Regular"
"12872","326 days 01:58:00","2","599.97","Lost"
"12873","281 days 21:52:00","1","374.00","Lost"
"12875","142 days 21:20:00","2","343.23","Regular"
"12876","57 days 00:24:00","2","2218.02","Regular"
"12877","3 days 02:20:00","12","1535.77","Loyal"
"12878","17 days 22:20:00","3","841.64","Regular"
"12879","44 days 00:26:00","4","552.57","Regular"
"12881","275 days 01:06:00","1","298.00","Lost"
"12882","8 days 20:32:00","2","1463.04","Regular"
"12883","24 days 03:18:00","4","703.47","Regular"
"12884","87 days 23:40:00","1","309.05","Regular"
"12885","62 days 23:10:00","4","1158.27","Regular"
"12886","67 days 02:41:00","3","1351.09","Regular"
"12888","213 days 20:48:00","4","313.77","Lost"
"12890","23 days 19:24:00","1","380.47","Regular"
"12891","185 days 00:19:00","3","331.00","Lost"
"12893","30 days 00:16:00","1","188.14","New"
"12895","41 days 22:59:00","3","347.30","Regular"
"12897","204 days 00:37:00","2","216.50","Lost"
"12901","8 days 02:43:00","36","16293.10","Loyal"
"12902","264 days 00:44:00","1","138.68","Lost"
"12904","17 days 22:16:00","2","509.58","Regular"
"12906","11 days 02:55:00","5","2919.81","Regular"
"12908","58 days 02:39:00","4","246.00","Regular"
"12909","39 days 00:07:00","8","2128.83","Regular"
"12910","22 days 22:22:00","8","3075.04","Regular"
"12912","2 days 03:55:00","5","1662.30","Regular"
"12913","4 days 00:39:00","5","2483.63","Regular"
"12915","148 days 01:16:00","2","363.65","Regular"
"12916","138 days 02:15:00","5","2982.35","Regular"
"12917","127 days 20:08:00","1","594.00","Regular"
"12919","7 days 23:03:00","8","1301.44","Regular"
"12920","16 days 21:45:00","1","164.23","New"
"12921","3 days 02:54:00","50","16389.74","Loyal"
"12922","160 days 21:15:00","1","405.38","Regular"
"12923","63 days 20:30:00","1","176.97","New"
"12924","87 days 22:55:00","5","929.95","Regular"
"12925","4 days 01:39:00","2","694.05","Regular"
"12928","34 days 22:26:00","5","2062.70","Regular"
"12929","121 days 22:20:00","2","105.10","New"
"12930","77 days 21:32:00","4","409.90","Regular"
"12931","21 days 00:11:00","20","33462.81","Loyal"
"12933","23 days 20:12:00","4","606.28","Regular"
"12935","1 day 19:25:00","8","2156.45","Regular"
"12936","16 days 19:18:00","5","1012.90","Regular"
"12937","14 days 21:45:00","4","1504.27","Regular"
"12938","25 days 01:29:00","1","114.14","New"
"12939","63 days 22:17:00","8","11581.80","Regular"
"12940","45 days 22:46:00","4","876.29","Regular"
"12942","130 days 22:11:00","3","683.90","Regular"
"12943","300 days 21:37:00","1","-3.75","Lost"
"12944","35 days 01:46:00","2","604.51","Regular"
"12945","287 days 22:35:00","1","462.95","Lost"
"12947","143 days 02:44:00","11","1407.29","Loyal"
"12948","15 days 19:40:00","8","2053.70","Regular"
"12949","30 days 01:25:00","10","4143.02","Loyal"
"12950","1 day 23:33:00","3","1843.00","Regular"
"12951","8 days 00:36:00","8","1042.07","Regular"
"12952","5 days 02:15:00","5","1382.84","Regular"
"12953","9 days 03:26:00","1","329.85","Regular"
"12955","20:21:00","14","4734.26","Loyal"
"12956","305 days 20:42:00","1","108.07","Lost"
"12957","3 days 20:18:00","12","3979.04","Loyal"
"12962","6 days 20:55:00","2","266.39","Regular"
"12963","7 days 23:55:00","9","1841.03","Regular"
"12965","88 days 21:19:00","1","771.91","Regular"
"12966","9 days 00:12:00","1","160.18","New"
"12967","2 days 22:31:00","4","1194.75","Regular"
"12968","111 days 21:06:00","1","135.95","New"
"12970","6 days 22:20:00","4","452.24","Regular"
"12971","3 days 00:30:00","89","10930.26","Loyal"
"12974","197 days 03:17:00","1","144.80","Lost"
"12976","211 days 02:55:00","1","738.60","Lost"
"12977","155 days 20:10:00","1","39.24","New"
"12980","155 days 01:08:00","12","7092.06","Loyal"
"12981","29 days 00:50:00","2","372.22","Regular"
"12982","239 days 02:01:00","2","377.20","Lost"
"12984","18 days 00:13:00","1","97.50","New"
"12985","02:04:00","3","1215.62","Regular"
"12987","73 days 00:47:00","3","545.00","Regular"
"12988","291 days 22:19:00","1","535.32","Lost"
"12989","2 days 21:22:00","19","6854.51","Loyal"
"12990","30 days 23:49:00","3","409.50","Regular"
"12991","22 days 21:16:00","2","503.76","Regular"
"12993","22 days 21:01:00","4","414.76","Regular"
"12994","3 days 21:07:00","5","902.22","Regular"
"12995","77 days 03:30:00","2","200.72","Regular"
"12997","21 days 21:03:00","7","1197.94","Regular"
"12999","195 days 23:26:00","3","455.88","Lost"
"13000","106 days 02:07:00","3","534.85","Regular"
"13001","3 days 21:59:00","15","9797.92","Loyal"
"13002","317 days 21:32:00","1","120.95","Lost"
"13003","105 days 02:00:00","3","149.05","Regular"
"13004","11 days 01:23:00","22","5613.43","Loyal"
"13005","173 days 01:57:00","3","468.95","Regular"
"13006","55 days 23:01:00","1","81.57","New"
"13008","322 days 22:26:00","2","178.47","Lost"
"13011","371 days 19:28:00","1","50.55","Lost"
"13012","8 days 23:45:00","11","1311.62","Loyal"
"13013","21:49:00","15","4786.99","Loyal"
"13014","2 days 03:26:00","16","3365.43","Loyal"
"13015","52 days 23:31:00","5","3346.28","Regular"
"13016","72 days 22:42:00","3","789.89","Regular"
"13017","6 days 20:57:00","1","204.00","Regular"
"13018","15 days 23:22:00","29","7272.75","Loyal"
"13021","3 days 20:13:00","12","2584.40","Loyal"
"13023","63 days 20:23:00","2","689.90","Regular"
"13026","19:52:00","8","936.15","Regular"
"13027","113 days 03:11:00","6","6912.0","Regular"
"13028","22 days 01:40:00","3","659.68","Regular"
"13029","30 days 03:37:00","3","1247.50","Regular"
"13030","10 days 22:20:00","2","799.48","Regular"
"13032","38 days 02:54:00","3","996.52","Regular"
"13033","356 days 22:27:00","1","190.55","Lost"
"13034","54 days 00:29:00","2","642.77","Regular"
"13035","57 days 00:27:00","3","886.63","Regular"
"13037","137 days 21:04:00","3","881.07","Regular"
"13038","79 days 22:13:00","3","908.46","Regular"
"13040","8 days 02:12:00","2","676.99","Regular"
"13043","253 days 00:36:00","2","471.57","Lost"
"13044","290 days 21:30:00","1","560.47","Lost"
"13045","98 days 21:46:00","1","305.28","Regular"
"13046","30 days 04:14:00","2","629.31","Regular"
"13047","31 days 00:40:00","18","3079.10","Loyal"
"13048","13 days 23:27:00","5","1805.91","Regular"
"13049","63 days 21:19:00","2","656.68","Regular"
"13050","8 days 19:22:00","28","5684.61","Loyal"
"13052","211 days 22:38:00","1","348.15","Lost"
"13055","63 days 17:53:00","4","1201.96","Regular"
"13058","24 days 00:07:00","3","271.40","Regular"
"13059","249 days 02:10:00","1","183.40","Lost"
"13060","253 days 01:13:00","1","307.53","Lost"
